Epoch: [0][51/200], lr: 0.00038	Time 0.076 (0.142)	Data 0.000 (0.017)	Loss 0.6933 (0.6949)	Prec@1 50.000 (45.913)	
Epoch: [0][52/200], lr: 0.00038	Time 0.070 (0.141)	Data 0.000 (0.016)	Loss 0.7027 (0.6951)	Prec@1 25.000 (45.519)	
Epoch: [0][53/200], lr: 0.00038	Time 0.079 (0.140)	Data 0.000 (0.016)	Loss 0.6981 (0.6951)	Prec@1 37.500 (45.370)	
Epoch: [0][54/200], lr: 0.00038	Time 0.093 (0.139)	Data 0.000 (0.016)	Loss 0.7030 (0.6953)	Prec@1 25.000 (45.000)	
Epoch: [0][55/200], lr: 0.00038	Time 0.067 (0.138)	Data 0.000 (0.015)	Loss 0.6888 (0.6951)	Prec@1 62.500 (45.312)	
Epoch: [0][56/200], lr: 0.00038	Time 0.073 (0.137)	Data 0.000 (0.015)	Loss 0.6800 (0.6949)	Prec@1 87.500 (46.053)	
Epoch: [0][57/200], lr: 0.00038	Time 0.078 (0.136)	Data 0.000 (0.015)	Loss 0.6887 (0.6948)	Prec@1 62.500 (46.336)	
Epoch: [0][58/200], lr: 0.00038	Time 0.077 (0.135)	Data 0.000 (0.015)	Loss 0.6983 (0.6948)	Prec@1 37.500 (46.186)	
Epoch: [0][59/200], lr: 0.00038	Time 0.123 (0.134)	Data 0.000 (0.014)	Loss 0.6933 (0.6948)	Prec@1 50.000 (46.250)	
Epoch: [0][60/200], lr: 0.00038	Time 0.071 (0.133)	Data 0.000 (0.014)	Loss 0.6933 (0.6948)	Prec@1 50.000 (46.311)	
Epoch: [0][61/200], lr: 0.00038	Time 0.078 (0.132)	Data 0.000 (0.014)	Loss 0.6879 (0.6947)	Prec@1 62.500 (46.573)	
Epoch: [0][62/200], lr: 0.00038	Time 0.076 (0.132)	Data 0.000 (0.014)	Loss 0.6878 (0.6946)	Prec@1 62.500 (46.825)	
Epoch: [0][63/200], lr: 0.00038	Time 0.081 (0.131)	Data 0.001 (0.014)	Loss 0.6994 (0.6946)	Prec@1 37.500 (46.680)	
Epoch: [0][64/200], lr: 0.00038	Time 0.069 (0.130)	Data 0.000 (0.013)	Loss 0.6935 (0.6946)	Prec@1 50.000 (46.731)	
Epoch: [0][65/200], lr: 0.00038	Time 0.082 (0.129)	Data 0.000 (0.013)	Loss 0.7058 (0.6948)	Prec@1 25.000 (46.402)	
Epoch: [0][66/200], lr: 0.00038	Time 0.074 (0.128)	Data 0.000 (0.013)	Loss 0.6995 (0.6949)	Prec@1 37.500 (46.269)	
Epoch: [0][67/200], lr: 0.00038	Time 0.078 (0.128)	Data 0.000 (0.013)	Loss 0.6991 (0.6949)	Prec@1 37.500 (46.140)	
Epoch: [0][68/200], lr: 0.00038	Time 0.082 (0.127)	Data 0.000 (0.013)	Loss 0.6987 (0.6950)	Prec@1 37.500 (46.014)	
Epoch: [0][69/200], lr: 0.00038	Time 0.083 (0.126)	Data 0.000 (0.012)	Loss 0.6884 (0.6949)	Prec@1 62.500 (46.250)	
Epoch: [0][70/200], lr: 0.00038	Time 0.071 (0.125)	Data 0.000 (0.012)	Loss 0.7025 (0.6950)	Prec@1 25.000 (45.951)	
Epoch: [0][71/200], lr: 0.00038	Time 0.068 (0.125)	Data 0.000 (0.012)	Loss 0.7014 (0.6951)	Prec@1 25.000 (45.660)	
Epoch: [0][72/200], lr: 0.00038	Time 0.082 (0.124)	Data 0.000 (0.012)	Loss 0.6965 (0.6951)	Prec@1 37.500 (45.548)	
Epoch: [0][73/200], lr: 0.00038	Time 0.077 (0.123)	Data 0.000 (0.012)	Loss 0.6881 (0.6950)	Prec@1 75.000 (45.946)	
Epoch: [0][74/200], lr: 0.00038	Time 0.082 (0.123)	Data 0.000 (0.012)	Loss 0.6932 (0.6950)	Prec@1 50.000 (46.000)	
Epoch: [0][75/200], lr: 0.00038	Time 0.068 (0.122)	Data 0.000 (0.011)	Loss 0.6915 (0.6949)	Prec@1 62.500 (46.217)	
Epoch: [0][76/200], lr: 0.00038	Time 0.074 (0.122)	Data 0.000 (0.011)	Loss 0.6918 (0.6949)	Prec@1 62.500 (46.429)	
Epoch: [0][77/200], lr: 0.00038	Time 0.071 (0.121)	Data 0.000 (0.011)	Loss 0.6919 (0.6949)	Prec@1 62.500 (46.635)	
Epoch: [0][78/200], lr: 0.00038	Time 0.075 (0.120)	Data 0.000 (0.011)	Loss 0.6932 (0.6948)	Prec@1 50.000 (46.677)	
Epoch: [0][79/200], lr: 0.00038	Time 0.077 (0.120)	Data 0.000 (0.011)	Loss 0.6945 (0.6948)	Prec@1 37.500 (46.562)	
Epoch: [0][80/200], lr: 0.00038	Time 0.079 (0.119)	Data 0.000 (0.011)	Loss 0.6955 (0.6948)	Prec@1 25.000 (46.296)	
Epoch: [0][81/200], lr: 0.00038	Time 0.074 (0.119)	Data 0.000 (0.011)	Loss 0.6957 (0.6948)	Prec@1 12.500 (45.884)	
Epoch: [0][82/200], lr: 0.00038	Time 0.077 (0.118)	Data 0.000 (0.011)	Loss 0.6933 (0.6948)	Prec@1 37.500 (45.783)	
Epoch: [0][83/200], lr: 0.00038	Time 0.082 (0.118)	Data 0.000 (0.010)	Loss 0.6937 (0.6948)	Prec@1 37.500 (45.685)	
Epoch: [0][84/200], lr: 0.00038	Time 0.072 (0.117)	Data 0.000 (0.010)	Loss 0.6942 (0.6948)	Prec@1 37.500 (45.588)	
Epoch: [0][85/200], lr: 0.00038	Time 0.085 (0.117)	Data 0.000 (0.010)	Loss 0.6889 (0.6947)	Prec@1 87.500 (46.076)	
Epoch: [0][86/200], lr: 0.00038	Time 0.076 (0.116)	Data 0.000 (0.010)	Loss 0.6911 (0.6947)	Prec@1 62.500 (46.264)	
Epoch: [0][87/200], lr: 0.00038	Time 0.072 (0.116)	Data 0.000 (0.010)	Loss 0.6989 (0.6947)	Prec@1 25.000 (46.023)	
Epoch: [0][88/200], lr: 0.00038	Time 0.081 (0.115)	Data 0.000 (0.010)	Loss 0.6964 (0.6948)	Prec@1 37.500 (45.927)	
Epoch: [0][89/200], lr: 0.00038	Time 0.070 (0.115)	Data 0.000 (0.010)	Loss 0.6967 (0.6948)	Prec@1 37.500 (45.833)	
Epoch: [0][90/200], lr: 0.00038	Time 0.121 (0.115)	Data 0.000 (0.010)	Loss 0.6968 (0.6948)	Prec@1 37.500 (45.742)	
Epoch: [0][91/200], lr: 0.00038	Time 0.069 (0.115)	Data 0.000 (0.010)	Loss 0.6968 (0.6948)	Prec@1 37.500 (45.652)	
Epoch: [0][92/200], lr: 0.00038	Time 0.072 (0.114)	Data 0.000 (0.009)	Loss 0.6932 (0.6948)	Prec@1 50.000 (45.699)	
Epoch: [0][93/200], lr: 0.00038	Time 0.077 (0.114)	Data 0.000 (0.009)	Loss 0.6900 (0.6948)	Prec@1 62.500 (45.878)	
Epoch: [0][94/200], lr: 0.00038	Time 0.068 (0.113)	Data 0.000 (0.009)	Loss 0.6901 (0.6947)	Prec@1 62.500 (46.053)	
Epoch: [0][95/200], lr: 0.00038	Time 0.073 (0.113)	Data 0.000 (0.009)	Loss 0.6965 (0.6947)	Prec@1 37.500 (45.964)	
Epoch: [0][96/200], lr: 0.00038	Time 0.079 (0.112)	Data 0.000 (0.009)	Loss 0.6997 (0.6948)	Prec@1 25.000 (45.747)	
Epoch: [0][97/200], lr: 0.00038	Time 0.078 (0.112)	Data 0.000 (0.009)	Loss 0.6961 (0.6948)	Prec@1 37.500 (45.663)	
Epoch: [0][98/200], lr: 0.00038	Time 0.073 (0.112)	Data 0.000 (0.009)	Loss 0.6906 (0.6948)	Prec@1 62.500 (45.833)	
Epoch: [0][99/200], lr: 0.00038	Time 0.084 (0.111)	Data 0.000 (0.009)	Loss 0.6955 (0.6948)	Prec@1 37.500 (45.750)	
Epoch: [0][100/200], lr: 0.00038	Time 0.073 (0.111)	Data 0.000 (0.009)	Loss 0.6932 (0.6947)	Prec@1 50.000 (45.792)	
